DOI,References,Score,Title,Authors,Year,Abstract
10.1038/nn.3203,"['10.1038/nn.2599', '10.1037/0033-295x.99.2.195', '10.1016/j.tics.2007.09.001', '10.1016/s0896-6273(00)80629-7', '10.1073/pnas.0437938100', '10.1016/j.neuron.2004.08.031', '10.1016/j.neuron.2009.01.011', '10.1126/science.8036517', '10.1016/s0896-6273(02)01096-6', '10.1038/nn1825', '10.1016/j.neuron.2004.10.007', '10.1038/nn.2384', '10.1002/hipo.20707', '10.1126/science.1138581', '10.1126/science.1179013', '10.1038/nn.2744', '10.1016/j.neuron.2009.07.027', '10.1016/0006-8993(71)90358-1', '10.1146/annurev.neuro.31.061307.090723', '10.1152/jn.00404.2011']",0.65369,Biasing the content of hippocampal replay during sleep,Daniel Bendor; Matthew A Wilson,2012.0,
10.1016/s0004-3702(98)00023-x,"['10.1016/0022-247x(65)90154-x', '10.1016/0890-5401(92)90048-k', '10.1016/0004-3702(94)00086-g', '10.1287/opre.32.5.1107', '10.1007/bf02283610', '10.1109/tssc.1966.300074', '10.1016/0004-3702(94)00087-h', '10.1007/bf02055574', '10.1287/mnsc.28.1.1', '10.1613/jair.277', '10.1287/opre.21.5.1071', '10.1287/opre.26.2.282', '10.1016/0167-6377(90)90022-w', '10.1007/bf00934845', '10.1007/bf02204836', '10.1287/opre.37.5.791', '10.1016/0304-3975(95)00188-3']",0.656521,Planning and acting in partially observable stochastic domains,Leslie Pack Kaelbling; Michael L. Littman; Anthony R. Cassandra,1998.0,
10.1037/h0076778,[],0.669174,A theory of attention: Variations in the associability of stimuli with reinforcement.,N. J. Mackintosh,1975.0,
10.1037/0033-295x.88.2.135,[],0.664359,Toward a modern theory of adaptive networks: Expectation and prediction.,Richard S. Sutton; Andrew G. Barto,1981.0,
10.1101/lm.1.1.1,"['10.1016/0166-2236(93)90081-v', '10.1038/347069a0', '10.1038/320172a0', '10.1523/jneurosci.10-03-00909.1990', '10.1038/346724a0', '10.1016/0022-510x(73)90175-5', '10.1073/pnas.90.17.8277', '10.1523/jneurosci.02-01-00032.1982', '10.1038/361031a0', '10.1113/jphysiol.1973.sp010273', '10.1016/0014-2999(91)90505-k', '10.1038/315409a0', '10.1073/pnas.86.20.8113', '10.1016/0896-6273(92)90104-l', '10.1016/s0166-4328(05)80288-8', '10.7551/mitpress/2010.001.0001', '10.1038/332444a0', '10.1073/pnas.84.12.4342', '10.1038/337129a0', '10.1001/archneur.1985.04060030081013']",0.662855,The predictive brain: temporal coincidence and temporal order in synaptic learning mechanisms.,P R Montague; T J Sejnowski,1994.0,"<jats:p>Some forms of synaptic plasticity depend on the temporal coincidence of presynaptic activity and postsynaptic response. This requirement is consistent with the Hebbian, or correlational, type of learning rule used in many neural network models. Recent evidence suggests that synaptic plasticity may depend in part on the production of a membrane permeant-diffusible signal so that spatial volume may also be involved in correlational learning rules. This latter form of synaptic change has been called volume learning. In both Hebbian and volume learning rules, interaction among synaptic inputs depends on the degree of coincidence of the inputs and is otherwise insensitive to their exact temporal order. Conditioning experiments and psychophysical studies have shown, however, that most animals are highly sensitive to the temporal order of the sensory inputs. Although these experiments assay the behavior of the entire animal or perceptual system, they raise the possibility that nervous systems may be sensitive to temporally ordered events at many spatial and temporal scales. We suggest here the existence of a new class of learning rule, called a predictive Hebbian learning rule, that is sensitive to the temporal ordering of synaptic inputs. We show how this predictive learning rule could act at single synaptic connections and through diffuse neuromodulatory systems."
10.1038/377725a0,"['10.1038/366059a0', '10.1523/jneurosci.15-03-01617.1995', '10.3758/bf03200017', '10.3758/bf03200062', '10.3758/bf03197899', '10.1007/bf00172219', '10.1007/978-1-4615-2814-2_4', '10.1126/science.1887231', '10.2307/1936663', '10.2307/1938384', '10.2307/1938299', '10.1038/275027a0', '10.1101/lm.1.1.1', '10.1147/rd.33.0210', '10.1037/0033-295x.88.2.135', '10.1073/pnas.72.2.710', '10.1007/bf00218409', '10.1007/bf00217108', '10.1523/jneurosci.15-01-00342.1995', '10.1523/jneurosci.13-03-00900.1993']",0.669691,Bee foraging in uncertain environments using predictive hebbian learning,P. Read Montague; Peter Dayan; Christophe Person; Terrence J. Sejnowski,1995.0,
10.1523/jneurosci.16-05-01936.1996,[],0.664518,A framework for mesencephalic dopamine systems based on predictive Hebbian learning,PR Montague; P Dayan; TJ Sejnowski,1996.0,"<jats:p>We develop a theoretical framework that shows how mesencephalic dopamine systems could distribute to their targets a signal that represents information about future expectations. In particular, we show how activity in the cerebral cortex can make predictions about future receipt of reward and how fluctuations in the activity levels of neurons in diffuse dopamine systems above and below baseline levels would represent errors in these predictions that are delivered to cortical and subcortical targets. We present a model for how such errors could be constructed in a real brain that is consistent with physiological results for a subset of dopaminergic neurons located in the ventral tegmental area and surrounding dopaminergic neurons. The theory also makes testable predictions about human choice behavior on a simple decision-making task. Furthermore, we show that, through a simple influence on synaptic plasticity, fluctuations in dopamine release can act to change the predictions in an appropriate manner."
10.1016/0306-4522(94)90592-4,"['10.1109/tsmc.1983.6313077', '10.1038/320172a0', '10.1016/0006-8993(92)90110-u', '10.1016/0306-4522(89)90354-0', '10.1523/jneurosci.03-08-01599.1983', '10.1016/0896-6273(93)90304-a', '10.1016/0306-4522(89)90353-9', '10.1016/0006-8993(87)90988-7', '10.1038/scientificamerican1269-98', '10.1016/s0079-6123(08)63818-2', '10.1152/physrev.1992.72.1.165', '10.1016/s0079-6123(08)63837-6', '10.1016/0006-8993(91)90140-q', '10.1152/jn.1992.67.1.145', '10.1002/cne.902140206', '10.1016/0006-8993(89)90210-2', '10.1016/0014-4886(76)90089-3', '10.1016/s0079-6123(08)63051-4', '10.1016/0165-0173(87)90011-7']",0.668065,Value-dependent selection in the brain: Simulation in a synthetic neural model,K.J. Friston; G. Tononi; G.N. Reeke; O. Sporns; G.M. Edelman,1994.0,
10.7551/mitpress/4708.003.0020,[],0.670135,A Model of How the Basal Ganglia Generate and Use Neural Signals That Predict Reinforcement,James C. Houk; James L. Adams; Andrew G. Barto,1994.0,
10.1016/1044-5765(92)90012-q,"['10.1016/0091-3057(83)90261-7', '10.1016/0006-8993(81)90177-3', '10.1007/bf00421062', '10.1016/0006-8993(75)90233-4', '10.1016/0014-2999(76)90352-6', '10.1007/bf00426456', '10.1016/0091-3057(85)90574-x', '10.1037/h0058775', '10.1016/0022-3956(71)90033-1', '10.1016/0006-8993(77)91015-0', '10.1037/h0040694', '10.3758/bf03326894', '10.1016/0091-3057(84)90104-7', '10.1016/0006-8993(89)91400-5', '10.1126/science.1114313', '10.1007/bf00428151', '10.1016/0304-3940(87)90451-4', '10.1016/0091-3057(89)90019-1', '10.1097/00008877-199000140-00009', '10.1016/0091-3057(80)90166-5']",0.670047,"Dopamine, addiction and reward",George F. Koob,1992.0,
10.1002/syn.890100307,"['10.1016/0091-3057(75)90091-x', '10.1037/0735-7044.104.1.177', '10.1016/0091-3057(86)90092-4', '10.1016/0091-3057(74)90085-9', '10.1016/0091-3057(76)90205-7', '10.1037/h0083703', '10.1523/jneurosci.09-10-03400.1989', '10.1038/266556a0', '10.1007/bf00433088', '10.1016/0014-2999(90)90540-m', '10.1037/h0036330', '10.1037/h0033120', '10.1016/0006-8993(87)91327-8', '10.1007/978-1-4612-4812-5_14', '10.1016/0165-0270(80)90016-3', '10.1016/0024-3205(81)90148-x', '10.1126/science.6324347', '10.1016/0006-8993(81)90962-8', '10.1016/0006-8993(83)91232-5']",0.668807,Localization of drug reward mechanisms by intracranial injections,Roy A. Wise; Diane C. Hoffman,1992.0,"<jats:title>Abstract</jats:title><jats:p>Intracranial drug injections are useful in localizing brain areas where drugs of abuse initiate their habit‐forming actions. However, serious methodological problems accompany such studies. Pharmacological controls are necessary to assess non‐receptor‐mediated local actions of the drug, anatomical controls are necessary to rule out drug efflux to distal sites of action, and behavioral controls are necessary to separate rewarding from general activating effects of drugs. Five brain sites have been advanced as sites of rewarding opiate actions: the ventral tegmental area (VTA), nucleus accumbens septi (NAS), lateral hypothalamus, periaqueductal gray, and hippocampus. Current evidence appears to confirm two of these—VTA and NAS; evidence is currently incomplete in the case of the hippocampus and is conflicting in the case of the lateral hypothalamus and periaqueductal gray. Two sites have been advanced as sites of rewarding psychomotor stimulant actions: NAS and the frontal cortex; each site seems implicated, but puzzling differences between amphetamine and cocaine findings remain to be resolved. Each of the clearly implicated sites is local to dopamine cell bodies or dopamine terminals that have been implicated in the rewarding effects of brain stimulation, food, and sex."
10.1016/0376-8716(95)01118-i,"['10.1111/j.1471-4159.1989.tb09224.x', '10.1016/0304-3940(90)90141-u', '10.1111/j.1471-4159.1992.tb10033.x', '10.1097/00008877-199410000-00001', '10.1007/bf00442800', '10.1016/0014-2999(91)90214-b', '10.1097/00008877-199308000-00009', '10.1016/0006-8993(89)90251-5', '10.1146/annurev.ne.09.030186.002041', '10.1016/0306-4522(88)90217-5', '10.1016/0091-3057(85)90014-0', '10.1126/science.7188649', '10.1016/0091-3057(85)90372-7', '10.1007/bf00429279', '10.1111/j.1476-5381.1972.tb06866.x', '10.1016/0028-3908(75)90129-x', '10.1016/0031-9384(86)90409-9', '10.1016/0091-3057(89)90298-0', '10.1038/npp.1993.3', '10.1007/bf02244208']",0.670263,The role of dopamine in drug abuse viewed from the perspective of its role in motivation,Gaetano Di Chiara,1995.0,
10.1016/0006-8993(75)90998-1,"['10.1016/0014-2999(70)90006-3', '10.1016/0006-8993(70)90186-1', '10.1016/0006-2952(73)90147-0', '10.1111/j.1476-5381.1971.tb07177.x', '10.1016/0006-8993(74)90647-7', '10.1016/0006-8993(72)90734-2', '10.1016/0006-8993(72)90735-4', '10.1016/0024-3205(66)90006-3', '10.1007/bf00403900', '10.1111/j.1476-5381.1973.tb08194.x', '10.1016/0028-3908(73)90120-2', '10.1007/bf00505669', '10.1126/science.179.4073.575', '10.1016/0024-3205(63)90087-0', '10.1037/h0035289', '10.1016/0006-8993(71)90182-x', '10.1016/0014-4886(74)90089-2', '10.1037/h0027655', '10.1016/0014-2999(72)90132-x']",0.663811,Effects of amphetamine isomers and neuroleptics on self-stimulation from the nucleus accumbens and dorsal nor-adrenergenic bundle,Anthony G. Phillips; Sheila M. Brooke; Hans C. Fibiger,1975.0,
10.1126/science.897677,"['10.1016/0006-8993(76)90078-0', '10.1111/j.1471-4159.1974.tb06061.x', '10.1038/254439a0', '10.1016/s0021-9673(01)96577-x', '10.1016/0006-8993(74)90618-0', '10.1126/science.184.4133.177', '10.1016/0006-8993(74)90947-0', '10.1152/ajplegacy.1975.229.6.1547', '10.1016/0006-8993(76)90500-x', '10.1016/0361-9230(76)90110-6', '10.1016/0091-3057(76)90018-6', '10.1016/0361-9230(77)90006-5', '10.1016/0006-8993(76)90615-6', '10.1016/0006-8993(73)90795-6', '10.1016/s0091-6773(72)80218-9', '10.1037/h0027655', '10.1037/h0030927', '10.1016/0006-8993(76)90797-6', '10.1126/science.184.4143.1243', '10.1037/h0026767']",0.666517,Brain Self-Stimulation: Direct Evidence for the Involvement of Dopamine in the Prefrontal Cortex,F. Mora; R. D. Myers,1977.0,"<jats:p>
            Rats were trained to self-stimulate the medial prefrontal cortex, a region rich in dopaminergic terminals. After the region adjacent to the electrode site was labeled with [
            <jats:sup>14</jats:sup>
            C]dopamine, it was perfused repeatedly by means of push-pull cannulas. Electrical stimulation of this cortical area in six animals enhanced the release of dopamine and its associated metabolites in nine of 16 experiments. Thus in vivo evidence is provided that dopamine is involved in the brain self-stimulation mechanism within the frontal cortex.
          "
10.1007/bf00426039,"['10.1016/0006-8993(76)90078-0', '10.1007/bf00421222', '10.1016/0091-3057(76)90200-8', '10.1016/0006-8993(69)90003-1', '10.1007/bf00505669', '10.1016/0006-8993(77)90960-x', '10.1016/0361-9230(76)90110-6', '10.1016/0091-3057(76)90018-6', '10.1016/0304-3940(75)90036-1', '10.1016/0006-8993(75)90998-1', '10.1037/h0081676', '10.1016/0091-3057(74)90103-8', '10.1016/s0091-6773(72)80218-9', '10.1016/0091-3057(73)90083-x', '10.1007/bf00422799', '10.1007/bf00421431']",0.669606,"Intracranial self-stimulation in orbitofrontal cortex and caudate nucleus of rhesus monkey: Effects of apomorphine, pimozide, and spiroperidol",A. G. Phillips; F. Mora; E. T. Rolls,1979.0,
10.1016/0006-8993(80)90666-6,"['10.1016/0006-8993(71)90272-1', '10.1016/0304-3940(77)90018-0', '10.1016/0031-9384(74)90313-8', '10.1016/0006-8993(75)90885-9', '10.1016/0006-8993(76)90007-x', '10.1016/0006-8993(74)90647-7', '10.1016/0006-8993(77)91025-3', '10.1016/0006-8993(77)90047-6', '10.1016/0006-8993(79)90461-x', '10.1016/0006-8993(72)90734-2', '10.1016/0006-8993(72)90735-4', '10.1016/0024-3205(66)90006-3', '10.1037/h0077391', '10.1002/cne.901800310', '10.1016/0304-3940(78)90160-x', '10.1146/annurev.pa.18.040178.000345', '10.1007/bf00428696', '10.1037/h0077500', '10.1016/0006-8993(76)90809-x', '10.1016/0091-3057(78)90361-1']",0.668634,Intracranial self-stimulation in relation to the ascending dopaminergic systems of the midbrain: A moveable electrode mapping study,Dale Corbett; Roy A. Wise,1980.0,
10.1146/annurev.ps.40.020189.001203,[],0.668174,Brain Dopamine and Reward,R. A. Wise; P.-P. Rompre,1989.0,
10.1017/s0140525x00010372,"['10.1007/bf00401545', '10.1007/978-1-4684-2394-5_7', '10.1037/h0040694', '10.1016/0165-0173(79)90017-1', '10.1016/0166-2236(79)90022-5', '10.1016/s0031-6997(25)06839-5', '10.1037/h0041029', '10.1016/s0091-3057(80)80033-5', '10.1037/h0036330', '10.1007/bf00403631', '10.1007/bf00492365', '10.1016/0006-8993(73)90045-0', '10.1016/0091-3057(80)90166-5', '10.1126/science.173.4002.1103', '10.1017/s0140525x00009869', '10.1001/archpsyc.1971.01750080089015', '10.1901/jeab.1980.34-219', '10.1016/0006-8993(77)90047-6', '10.1126/science.7244622', '10.1016/0091-3057(81)90225-2']",0.653215,Neuroleptics and operant behavior: The anhedonia hypothesis,Roy A. Wise,1982.0,"<jats:title>Abstract</jats:title><jats:p>Neuroleptic drugs disrupt the learning and performance of operant habits motivated by a variety of positive reinforcers, including food, water, brain stimulation, intravenous opiates, stimulants, and barbiturates. This disruption has been demonstrated in several kinds of experiments with doses that do not significantly limit normal response capacity. With continuous reinforcement neuroleptics gradually cause responding to cease, as in extinction or satiation. This pattern is not due to satiation, however, because it also occurs with nonsatiating reinforcement (such as saccharin or brain stimulation). Repeated tests with neuroleptics result in earlier and earlier response cessation reminiscent of the kind of decreased resistance to extinction caused by repeated tests without the expected reward. Indeed, withholding reward can have the same effect on responding under later neuroleptic treatment as prior experience with neuroleptics themselves; this suggests that there is a transfer of learning (really unlearning) from nonreward to neuroleptic conditions. These tests under continuous reinforcement schedules suggest that neuroleptics blunt the ability of reinforcers to sustain responding at doses which largely spare the ability of the animal to initiate responding. Animals trained under partial reinforcement, however, do not respond as well during neuroleptic testing as animals trained under continuous reinforcement. Thus, neuroleptics can also impair responding (though not response<jats:italic>capacity</jats:italic>) that is normally sustained by environmental stimuli (and associated expectancies) in the absence of the primary reinforcer. Neuroleptics also blunt the euphoric impact of amphetamine in humans. These data suggest that the most subtle and interesting effect of neuroleptics is a selective attenuation of motivational arousal which is (a) critical for goal-directed behavior, (b) normally induced by reinforcers and associated environmental stimuli, and (c) normally accompanied by the subjective experience of pleasure. Because these drugs are used to treat schizophrenia and because they cause parkinsonian-like side effects, this action has implications for a better understanding of human pathology as well as normal motivational processes."
10.1016/0165-0173(83)90038-3,"['10.3758/bf03335333', '10.1016/0014-2999(70)90006-3', '10.1016/0024-3205(81)90314-3', '10.1016/0006-8993(81)90187-6', '10.1016/0091-3057(78)90296-4', '10.1016/0091-3057(75)90121-5', '10.1016/0091-3057(82)90434-8', '10.1126/science.850798', '10.3758/bf03332973', '10.1126/science.6857251', '10.1007/bf00433088', '10.1111/j.1476-5381.1981.tb09967.x', '10.1016/0091-3057(80)90051-9', '10.1007/bf00426515', '10.1007/bf00432132', '10.1016/0091-3057(81)90110-6', '10.1016/0091-3057(83)90290-3', '10.1017/s0140525x00059380', '10.1038/215375a0']",0.660776,The role of dopamine in locomotor activity and learning,Richard J. Beninger,1983.0,
10.1126/science.6857251,"['10.1017/s0140525x00059380', '10.1037/h0036330', '10.1007/bf00432676', '10.1016/0014-2999(74)90109-5', '10.1016/0091-3057(81)90208-2', '10.1016/0006-8993(79)90206-3', '10.1192/bjp.137.4.379', '10.1007/bf00401511', '10.1016/0024-3205(81)90157-0', '10.1016/0014-2999(71)90121-x', '10.1001/archpsyc.1972.01750260021004', '10.1016/0091-3057(73)90091-9', '10.1017/s0140525x00010372', '10.1016/0091-3057(81)90225-2', '10.1126/science.566469']",0.651257,Pimozide Blocks Establishment But Not Expression of Amphetamine-Produced Environment-Specific Conditioning,Richard J. Beninger; Brenda L. Hahn,1983.0,"<jats:p>Animals with a history of receiving daily injections of +-amphetamine in a specific environment showed a placebo effect (enhanced activity) when injected with saline and placed there; control animals with similar but dissociated drug histories and experience with the test chamber failed to show the effect. The dopamine receptor blocker pimozide antagonized the establishment of conditioning. However, the same dose of pimozide, when given to previously conditioned animals on the placebo test day, failed to antagonize the expression of conditioned activity. Thus, during conditioning dopaminergic neurons mediated a change that subsequently influenced behavior even when dopaminergic systems were blocked. Although schizophrenia may be related to hyperfunctioning of dopamine, neuroleptic drugs, which block dopamine receptors on their first administration, do not have therapeutic effects for a number of days. The results of the pimozide experiments may resolve this paradox."
