DOI,Title,Authors,Year,References,Score,Layer
10.1038/nn.3203,Biasing the content of hippocampal replay during sleep,Daniel Bendor; Matthew A Wilson,2012.0,"['10.1038/nn.2599', '10.1037/0033-295x.99.2.195', '10.1016/j.tics.2007.09.001', '10.1016/s0896-6273(00)80629-7', '10.1073/pnas.0437938100', '10.1016/j.neuron.2004.08.031', '10.1016/j.neuron.2009.01.011', '10.1126/science.8036517', '10.1016/s0896-6273(02)01096-6', '10.1038/nn1825', '10.1016/j.neuron.2004.10.007', '10.1038/nn.2384', '10.1002/hipo.20707', '10.1126/science.1138581', '10.1126/science.1179013', '10.1038/nn.2744', '10.1016/j.neuron.2009.07.027', '10.1016/0006-8993(71)90358-1', '10.1146/annurev.neuro.31.061307.090723', '10.1152/jn.00404.2011']",0.65369,1
10.1016/s0004-3702(98)00023-x,Planning and acting in partially observable stochastic domains,Leslie Pack Kaelbling; Michael L. Littman; Anthony R. Cassandra,1998.0,"['10.1016/0022-247x(65)90154-x', '10.1016/0890-5401(92)90048-k', '10.1016/0004-3702(94)00086-g', '10.1287/opre.32.5.1107', '10.1007/bf02283610', '10.1109/tssc.1966.300074', '10.1016/0004-3702(94)00087-h', '10.1007/bf02055574', '10.1287/mnsc.28.1.1', '10.1613/jair.277', '10.1287/opre.21.5.1071', '10.1287/opre.26.2.282', '10.1016/0167-6377(90)90022-w', '10.1007/bf00934845', '10.1007/bf02204836', '10.1287/opre.37.5.791', '10.1016/0304-3975(95)00188-3']",0.656521,1
10.1037/h0076778,A theory of attention: Variations in the associability of stimuli with reinforcement.,N. J. Mackintosh,1975.0,,,2
10.1037/0033-295x.88.2.135,Toward a modern theory of adaptive networks: Expectation and prediction.,Richard S. Sutton; Andrew G. Barto,1981.0,,,2
10.1101/lm.1.1.1,The predictive brain: temporal coincidence and temporal order in synaptic learning mechanisms.,P R Montague; T J Sejnowski,1994.0,"['10.1016/0166-2236(93)90081-v', '10.1038/347069a0', '10.1038/320172a0', '10.1523/jneurosci.10-03-00909.1990', '10.1038/346724a0', '10.1016/0022-510x(73)90175-5', '10.1073/pnas.90.17.8277', '10.1523/jneurosci.02-01-00032.1982', '10.1038/361031a0', '10.1113/jphysiol.1973.sp010273', '10.1016/0014-2999(91)90505-k', '10.1038/315409a0', '10.1073/pnas.86.20.8113', '10.1016/0896-6273(92)90104-l', '10.1016/s0166-4328(05)80288-8', '10.7551/mitpress/2010.001.0001', '10.1038/332444a0', '10.1073/pnas.84.12.4342', '10.1038/337129a0', '10.1001/archneur.1985.04060030081013']",0.662855,2
10.1038/377725a0,Bee foraging in uncertain environments using predictive hebbian learning,P. Read Montague; Peter Dayan; Christophe Person; Terrence J. Sejnowski,1995.0,"['10.1038/366059a0', '10.1523/jneurosci.15-03-01617.1995', '10.3758/bf03200017', '10.3758/bf03200062', '10.3758/bf03197899', '10.1007/bf00172219', '10.1007/978-1-4615-2814-2_4', '10.1126/science.1887231', '10.2307/1936663', '10.2307/1938384', '10.2307/1938299', '10.1038/275027a0', '10.1101/lm.1.1.1', '10.1147/rd.33.0210', '10.1037/0033-295x.88.2.135', '10.1073/pnas.72.2.710', '10.1007/bf00218409', '10.1007/bf00217108', '10.1523/jneurosci.15-01-00342.1995', '10.1523/jneurosci.13-03-00900.1993']",0.669691,2
10.1523/jneurosci.16-05-01936.1996,A framework for mesencephalic dopamine systems based on predictive Hebbian learning,PR Montague; P Dayan; TJ Sejnowski,1996.0,,,2
10.1016/0306-4522(94)90592-4,Value-dependent selection in the brain: Simulation in a synthetic neural model,K.J. Friston; G. Tononi; G.N. Reeke; O. Sporns; G.M. Edelman,1994.0,"['10.1109/tsmc.1983.6313077', '10.1038/320172a0', '10.1016/0006-8993(92)90110-u', '10.1016/0306-4522(89)90354-0', '10.1523/jneurosci.03-08-01599.1983', '10.1016/0896-6273(93)90304-a', '10.1016/0306-4522(89)90353-9', '10.1016/0006-8993(87)90988-7', '10.1038/scientificamerican1269-98', '10.1016/s0079-6123(08)63818-2', '10.1152/physrev.1992.72.1.165', '10.1016/s0079-6123(08)63837-6', '10.1016/0006-8993(91)90140-q', '10.1152/jn.1992.67.1.145', '10.1002/cne.902140206', '10.1016/0006-8993(89)90210-2', '10.1016/0014-4886(76)90089-3', '10.1016/s0079-6123(08)63051-4', '10.1016/0165-0173(87)90011-7']",0.668065,2
10.7551/mitpress/4708.003.0020,A Model of How the Basal Ganglia Generate and Use Neural Signals That Predict Reinforcement,James C. Houk; James L. Adams; Andrew G. Barto,1994.0,,,2
10.1016/1044-5765(92)90012-q,"Dopamine, addiction and reward",George F. Koob,1992.0,"['10.1016/0091-3057(83)90261-7', '10.1016/0006-8993(81)90177-3', '10.1007/bf00421062', '10.1016/0006-8993(75)90233-4', '10.1016/0014-2999(76)90352-6', '10.1007/bf00426456', '10.1016/0091-3057(85)90574-x', '10.1037/h0058775', '10.1016/0022-3956(71)90033-1', '10.1016/0006-8993(77)91015-0', '10.1037/h0040694', '10.3758/bf03326894', '10.1016/0091-3057(84)90104-7', '10.1016/0006-8993(89)91400-5', '10.1126/science.1114313', '10.1007/bf00428151', '10.1016/0304-3940(87)90451-4', '10.1016/0091-3057(89)90019-1', '10.1097/00008877-199000140-00009', '10.1016/0091-3057(80)90166-5']",0.670047,2
10.1002/syn.890100307,Localization of drug reward mechanisms by intracranial injections,Roy A. Wise; Diane C. Hoffman,1992.0,"['10.1016/0091-3057(75)90091-x', '10.1037/0735-7044.104.1.177', '10.1016/0091-3057(86)90092-4', '10.1016/0091-3057(74)90085-9', '10.1016/0091-3057(76)90205-7', '10.1037/h0083703', '10.1523/jneurosci.09-10-03400.1989', '10.1038/266556a0', '10.1007/bf00433088', '10.1016/0014-2999(90)90540-m', '10.1037/h0036330', '10.1037/h0033120', '10.1016/0006-8993(87)91327-8', '10.1007/978-1-4612-4812-5_14', '10.1016/0165-0270(80)90016-3', '10.1016/0024-3205(81)90148-x', '10.1126/science.6324347', '10.1016/0006-8993(81)90962-8', '10.1016/0006-8993(83)91232-5']",0.668807,2
10.1016/0376-8716(95)01118-i,The role of dopamine in drug abuse viewed from the perspective of its role in motivation,Gaetano Di Chiara,1995.0,"['10.1111/j.1471-4159.1989.tb09224.x', '10.1016/0304-3940(90)90141-u', '10.1111/j.1471-4159.1992.tb10033.x', '10.1097/00008877-199410000-00001', '10.1007/bf00442800', '10.1016/0014-2999(91)90214-b', '10.1097/00008877-199308000-00009', '10.1016/0006-8993(89)90251-5', '10.1146/annurev.ne.09.030186.002041', '10.1016/0306-4522(88)90217-5', '10.1016/0091-3057(85)90014-0', '10.1126/science.7188649', '10.1016/0091-3057(85)90372-7', '10.1007/bf00429279', '10.1111/j.1476-5381.1972.tb06866.x', '10.1016/0028-3908(75)90129-x', '10.1016/0031-9384(86)90409-9', '10.1016/0091-3057(89)90298-0', '10.1038/npp.1993.3', '10.1007/bf02244208']",0.670263,2
10.1016/0006-8993(75)90998-1,Effects of amphetamine isomers and neuroleptics on self-stimulation from the nucleus accumbens and dorsal nor-adrenergenic bundle,Anthony G. Phillips; Sheila M. Brooke; Hans C. Fibiger,1975.0,"['10.1016/0014-2999(70)90006-3', '10.1016/0006-8993(70)90186-1', '10.1016/0006-2952(73)90147-0', '10.1111/j.1476-5381.1971.tb07177.x', '10.1016/0006-8993(74)90647-7', '10.1016/0006-8993(72)90734-2', '10.1016/0006-8993(72)90735-4', '10.1016/0024-3205(66)90006-3', '10.1007/bf00403900', '10.1111/j.1476-5381.1973.tb08194.x', '10.1016/0028-3908(73)90120-2', '10.1007/bf00505669', '10.1126/science.179.4073.575', '10.1016/0024-3205(63)90087-0', '10.1037/h0035289', '10.1016/0006-8993(71)90182-x', '10.1016/0014-4886(74)90089-2', '10.1037/h0027655', '10.1016/0014-2999(72)90132-x']",0.663811,2
10.1126/science.897677,Brain Self-Stimulation: Direct Evidence for the Involvement of Dopamine in the Prefrontal Cortex,F. Mora; R. D. Myers,1977.0,"['10.1016/0006-8993(76)90078-0', '10.1111/j.1471-4159.1974.tb06061.x', '10.1038/254439a0', '10.1016/s0021-9673(01)96577-x', '10.1016/0006-8993(74)90618-0', '10.1126/science.184.4133.177', '10.1016/0006-8993(74)90947-0', '10.1152/ajplegacy.1975.229.6.1547', '10.1016/0006-8993(76)90500-x', '10.1016/0361-9230(76)90110-6', '10.1016/0091-3057(76)90018-6', '10.1016/0361-9230(77)90006-5', '10.1016/0006-8993(76)90615-6', '10.1016/0006-8993(73)90795-6', '10.1016/s0091-6773(72)80218-9', '10.1037/h0027655', '10.1037/h0030927', '10.1016/0006-8993(76)90797-6', '10.1126/science.184.4143.1243', '10.1037/h0026767']",0.666517,2
10.1007/bf00426039,"Intracranial self-stimulation in orbitofrontal cortex and caudate nucleus of rhesus monkey: Effects of apomorphine, pimozide, and spiroperidol",A. G. Phillips; F. Mora; E. T. Rolls,1979.0,"['10.1016/0006-8993(76)90078-0', '10.1007/bf00421222', '10.1016/0091-3057(76)90200-8', '10.1016/0006-8993(69)90003-1', '10.1007/bf00505669', '10.1016/0006-8993(77)90960-x', '10.1016/0361-9230(76)90110-6', '10.1016/0091-3057(76)90018-6', '10.1016/0304-3940(75)90036-1', '10.1016/0006-8993(75)90998-1', '10.1037/h0081676', '10.1016/0091-3057(74)90103-8', '10.1016/s0091-6773(72)80218-9', '10.1016/0091-3057(73)90083-x', '10.1007/bf00422799', '10.1007/bf00421431']",0.669606,2
10.1016/0006-8993(80)90666-6,Intracranial self-stimulation in relation to the ascending dopaminergic systems of the midbrain: A moveable electrode mapping study,Dale Corbett; Roy A. Wise,1980.0,"['10.1016/0006-8993(71)90272-1', '10.1016/0304-3940(77)90018-0', '10.1016/0031-9384(74)90313-8', '10.1016/0006-8993(75)90885-9', '10.1016/0006-8993(76)90007-x', '10.1016/0006-8993(74)90647-7', '10.1016/0006-8993(77)91025-3', '10.1016/0006-8993(77)90047-6', '10.1016/0006-8993(79)90461-x', '10.1016/0006-8993(72)90734-2', '10.1016/0006-8993(72)90735-4', '10.1016/0024-3205(66)90006-3', '10.1037/h0077391', '10.1002/cne.901800310', '10.1016/0304-3940(78)90160-x', '10.1146/annurev.pa.18.040178.000345', '10.1007/bf00428696', '10.1037/h0077500', '10.1016/0006-8993(76)90809-x', '10.1016/0091-3057(78)90361-1']",0.668634,2
10.1146/annurev.ps.40.020189.001203,Brain Dopamine and Reward,R. A. Wise; P.-P. Rompre,1989.0,,,2
10.1017/s0140525x00010372,Neuroleptics and operant behavior: The anhedonia hypothesis,Roy A. Wise,1982.0,"['10.1007/bf00401545', '10.1007/978-1-4684-2394-5_7', '10.1037/h0040694', '10.1016/0165-0173(79)90017-1', '10.1016/0166-2236(79)90022-5', '10.1016/s0031-6997(25)06839-5', '10.1037/h0041029', '10.1016/s0091-3057(80)80033-5', '10.1037/h0036330', '10.1007/bf00403631', '10.1007/bf00492365', '10.1016/0006-8993(73)90045-0', '10.1016/0091-3057(80)90166-5', '10.1126/science.173.4002.1103', '10.1017/s0140525x00009869', '10.1001/archpsyc.1971.01750080089015', '10.1901/jeab.1980.34-219', '10.1016/0006-8993(77)90047-6', '10.1126/science.7244622', '10.1016/0091-3057(81)90225-2']",0.653215,2
10.1016/0165-0173(83)90038-3,The role of dopamine in locomotor activity and learning,Richard J. Beninger,1983.0,"['10.3758/bf03335333', '10.1016/0014-2999(70)90006-3', '10.1016/0024-3205(81)90314-3', '10.1016/0006-8993(81)90187-6', '10.1016/0091-3057(78)90296-4', '10.1016/0091-3057(75)90121-5', '10.1016/0091-3057(82)90434-8', '10.1126/science.850798', '10.3758/bf03332973', '10.1126/science.6857251', '10.1007/bf00433088', '10.1111/j.1476-5381.1981.tb09967.x', '10.1016/0091-3057(80)90051-9', '10.1007/bf00426515', '10.1007/bf00432132', '10.1016/0091-3057(81)90110-6', '10.1016/0091-3057(83)90290-3', '10.1017/s0140525x00059380', '10.1038/215375a0']",0.660776,2
10.1126/science.6857251,Pimozide Blocks Establishment But Not Expression of Amphetamine-Produced Environment-Specific Conditioning,Richard J. Beninger; Brenda L. Hahn,1983.0,"['10.1017/s0140525x00059380', '10.1037/h0036330', '10.1007/bf00432676', '10.1016/0014-2999(74)90109-5', '10.1016/0091-3057(81)90208-2', '10.1016/0006-8993(79)90206-3', '10.1192/bjp.137.4.379', '10.1007/bf00401511', '10.1016/0024-3205(81)90157-0', '10.1016/0014-2999(71)90121-x', '10.1001/archpsyc.1972.01750260021004', '10.1016/0091-3057(73)90091-9', '10.1017/s0140525x00010372', '10.1016/0091-3057(81)90225-2', '10.1126/science.566469']",0.651257,2
10.1016/0361-9230(89)90223-2,Dissociating the effects of altered dopaminergic function on performance and learning,Richard J. Beninger,1989.0,"['10.1016/0165-0173(83)90038-3', '10.3758/bf03332973', '10.1016/s0022-3565(25)32116-6', '10.1007/bf00432132', '10.1016/0091-3057(83)90290-3', '10.1037/h0081662', '10.1016/0091-3057(86)90392-8', '10.1016/0091-3057(86)90117-6', '10.1016/0091-3057(81)90196-9', '10.1016/0091-3057(86)90150-4', '10.1016/0091-3057(86)90389-8', '10.1016/0091-3057(79)90299-5', '10.1016/0361-9230(89)90224-4', '10.1007/bf00432512', '10.1016/0091-3057(86)90348-5', '10.1016/0091-3057(80)90453-0', '10.1016/0006-8993(86)90598-6', '10.1007/bf00735892', '10.1007/bf00310507', '10.1007/bf00432775']",0.668266,2
10.1152/physrev.1991.71.1.155,Mesocorticolimbic dopaminergic network: functional and regulatory roles,M. Le Moal; H. Simon,1991.0,,,2
10.1007/bf00342633,Cognitron: A self-organizing multilayered neural network,Kunihiko Fukushima,1975.0,"['10.1038/228477a0', '10.1103/revmodphys.34.135', '10.1109/tssc.1969.300225', '10.1007/bf00571695', '10.1113/jphysiol.1959.sp006308', '10.1113/jphysiol.1962.sp006837', '10.1152/jn.1965.28.2.229', '10.1007/bf00288907', '10.1113/jphysiol.1969.sp008820', '10.1098/rspb.1970.0040']",0.633258,2
10.1152/jn.1972.35.1.96,Visual properties of neurons in inferotemporal cortex of the Macaque.,C G Gross; C E Rocha-Miranda; D B Bender,1972.0,,,2
10.1113/jphysiol.1962.sp006837,"Receptive fields, binocular interaction and functional architecture in the cat's visual cortex",D. H. Hubel; T. N. Wiesel,1962.0,,,2
10.1152/jn.1965.28.2.229,RECEPTIVE FIELDS AND FUNCTIONAL ARCHITECTURE IN TWO NONSTRIATE VISUAL AREAS (18 AND 19) OF THE CAT,David H. Hubel; Torsten N. Wiesel,1965.0,,,2
10.1098/rspb.1977.0085,Ferrier lecture - Functional architecture of macaque monkey visual cortex,,1977.0,"['10.1007/bf00234062', '10.1113/jphysiol.1964.sp007463', '10.1113/jphysiol.1962.sp006991', '10.1007/bf00234129', '10.1093/brain/49.1.1', '10.1016/0006-8993(75)90749-0', '10.1016/0006-8993(72)90344-7', '10.1016/0006-8993(74)90607-6', '10.1002/cne.901600302', '10.1016/0006-8993(67)90166-7', '10.1016/0006-8993(73)90782-8', '10.1002/cne.901630106', '10.1113/jphysiol.1977.sp011863', '10.1002/ar.1091580313', '10.1016/0014-4886(73)90040-x', '10.1002/cne.901280104', '10.1002/cne.901440106', '10.1007/bf00335403', '10.1002/cne.901390403', '10.1152/jn.1972.35.4.518']",0.643193,2
10.1016/0893-6080(89)90020-8,Multilayer feedforward networks are universal approximators,Kurt Hornik; Maxwell Stinchcombe; Halbert White,1989.0,['10.1090/trans2/017/10'],0.652525,2
10.7551/mitpress/5236.001.0001,Parallel Distributed Processing,David E. Rumelhart; James L. McClelland,1986.0,,,2
10.1147/rd.33.0210,Some Studies in Machine Learning Using the Game of Checkers,A. L. Samuel,1959.0,,,2
10.1023/a:1022633531479,Learning to Predict by the Methods of Temporal Differences,Richard S. Sutton,1988.0,"['10.1016/b978-0-934613-41-5.50014-3', '10.1109/tsmc.1983.6313077', '10.1007/bf00317987', '10.3758/bf03205056', '10.1016/0166-4328(86)90092-6', '10.21236/ada164453', '10.1147/rd.33.0210', '10.1037/0033-295x.88.2.135', '10.21236/ad0241531', '10.1016/s0019-9958(77)90354-0']",0.656788,2
10.1162/neco.1989.1.3.321,Neurogammon Wins Computer Olympiad,Gerald Tesauro,1989.0,['10.1162/neco.1989.1.1.1'],0.657245,2
10.1007/bf00992697,Practical issues in temporal difference learning,Gerald Tesauro,1992.0,"['10.1016/b978-0-934613-41-5.50014-3', '10.1145/76359.76371', '10.1016/0004-3702(74)90027-7', '10.1016/0893-6080(89)90020-8', '10.1016/0004-3702(88)90076-8', '10.1214/aoms/1177729586', '10.7551/mitpress/5236.001.0001', '10.1147/rd.33.0210', '10.1147/rd.116.0601', '10.1016/0004-3702(89)90017-9', '10.1137/1116025', '10.1109/proc.1976.10286', '10.1287/mnsc.23.8.853']",0.650985,2
10.1016/s0004-3702(99)00026-0,Cooperative behavior acquisition for mobile robots in dynamically changing real worlds via vision-based reinforcement learning and development,Minoru Asada; Eiji Uchibe; Koh Hosoda,1999.0,,,2
10.1109/iros.2008.4650953,Learning perceptual coupling for motor primitives,J. Kober; B. Mohler; J. Peters,2008.0,"['10.1023/a:1020281327116', '10.1007/bf00992696', '10.1109/robot.2007.363633', '10.1109/robot.2002.1014739', '10.1016/j.robot.2004.03.003', '10.1109/iros.2005.1545257', '10.1109/iros.2006.282564', '10.1016/s0079-6123(06)65027-9', '10.5040/9781492596844', '10.1109/iros.2004.1389957']",0.65843,2
10.1080/088395198117848,Soccer server: A tool for research on multiagent systems,Itsuki Noda; Hitoshi Matsubara; Kazuo Hiraki; Ian Frank,1998.0,"['10.1109/iros.1996.569012', '10.1007/3-540-64473-3_49', '10.1093/mind/lix.236.433', '10.1109/iros.1996.568989', '10.1023/a:1022699900025']",0.662612,2
10.1163/1568553041719519,Reinforcement learning of humanoid rhythmic walking parameters based on visual information,Masaki Ogino; Yutaka Katoh; Masahiro Aono; Minoru Asada; Koh Hosoda,2004.0,"['10.1007/bf00198086', '10.1126/science.3975635', '10.1007/s004220050408', '10.1163/156855300x00061', '10.1007/978-1-4615-3618-5', '10.1080/00222895.1988.10735430']",0.657984,2
10.1177/0278364907087548,Learning to Control in Operational Space,Jan Peters; Stefan Schaal,2008.0,"['10.1023/a:1006559212014', '10.1023/a:1006511328852', '10.1109/robot.2000.846414', '10.1162/jocn.1993.5.4.408', '10.1162/neco.1997.9.2.271', '10.1177/027836499301200101', '10.1002/0471781819', '10.1002/rob.4620060203', '10.1207/s15516709cog1603_1', '10.1613/jair.301', '10.1109/tmech.2005.848290', '10.1109/jra.1987.1087068', '10.1023/a:1015727715131', '10.1002/0471722138', '10.1109/robot.2000.844073', '10.1017/cbo9780511665479', '10.1162/089976605774320557', '10.1023/a:1013258808932']",0.659522,2
10.1016/j.neunet.2008.02.003,Reinforcement learning of motor skills with policy gradients,Jan Peters; Stefan Schaal,2008.0,"['10.1162/089976698300017746', '10.21236/ada280862', '10.1162/neco.1997.9.2.349', '10.1613/jair.806', '10.1613/jair.807', '10.1162/neco.2007.12-05-077', '10.1109/ijcnn.1992.287219', '10.1016/s0921-8890(97)00043-2', '10.1016/j.conb.2005.10.011', '10.1287/ijoc.14.3.192.113', '10.1145/318371.318612', '10.1145/84537.84552', '10.1163/156855307782148550', '10.1016/0893-6080(90)90056-q', '10.1109/robot.2002.1014739', '10.1007/3-540-44581-1_40', '10.1287/mnsc.45.11.1570', '10.1109/robot.2004.1307456', '10.1109/iros.2005.1545206']",0.658796,2
